x,w30
110.009,0.058
109.964,3.968
109.237,6.828
107.694,7.47
106.514,7.236
105.061,6.186
102.746,4.143
100.976,2.917
98.162,2.042
94.667,1.692
90.99,1.458
88.04,1.283
85.271,0.933
80.732,0.816
76.102,0.291
72.47,-0.0006
69.066,-0.0006
60.986,-0.0006
56.084,-0.059

x,w90
110.1,-0.059
109.918,3.968
109.237,7.82
107.694,9.687
106.469,10.213
104.925,10.388
102.746,10.271
100.885,9.629
98.026,8.753
95.393,7.761
91.852,6.419
88.357,5.194
85.498,4.552
81.866,4.026
78.099,3.443
74.422,2.801
70.746,2.334
66.978,2.042
63.256,1.458
60.396,0.583
57.854,0.175
56.039,-0.0006

x,w150
110.054,-0.117
109.918,3.91
109.192,7.995
107.785,10.096
105.47,11.205
103.518,11.555
101.566,11.613
99.751,11.555
97.89,11.438
95.211,11.088
91.716,10.154
86.133,8.17
80.641,6.594
75.148,5.31
71.517,4.493
67.023,3.384
61.44,1.75
57.718,0.233
56.129,-0.0006

x,w210
110.1,-0.176
109.873,3.851
109.192,7.995
107.649,9.979
104.063,12.022
101.839,12.664
98.661,13.014
95.393,13.014
91.217,12.897
87.994,12.255
84.045,11.146
79.37,9.804
74.604,8.112
70.972,7.003
66.116,5.135
63.392,3.559
57.491,0.175
56.084,-0.0006

x,w270
110.054,-0.292
109.918,3.968
109.056,7.878
107.649,10.037
104.789,12.08
102.293,13.247
99.66,14.123
95.711,14.998
92.987,15.407
90.491,15.29
88.085,15.231
85.679,14.706
83.364,13.948
80.822,13.072
78.734,12.255
76.374,11.438
74.241,10.504
72.107,9.454
69.974,8.228
67.205,6.536
57.4,0.291
55.993,-0.0006

x,w330
110.054,-0.117
109.782,4.026
109.283,7.761
107.649,10.096
104.698,12.022
102.247,13.247
99.705,14.064
95.302,15.523
90.355,16.69
88.13,16.807
85.815,16.632
83.455,16.34
80.505,15.582
77.554,14.239
74.513,12.372
71.109,10.037
64.799,5.369
56.129,-0.059
